source,target,weight,symptom,psych_symp
1,1,NaN,0000,00
2,2,NaN,0000,10
3,3,NaN,0000,00
4,4,NaN,0000,00
5,5,NaN,0000,00
6,6,NaN,0000,00
7,7,NaN,1100,00
8,8,NaN,0000,00
9,9,NaN,0000,00
10,10,NaN,0000,00
11,11,NaN,1000,11
12,12,NaN,0000,00
13,13,NaN,0000,00
14,14,NaN,0000,00
15,15,NaN,0000,00
16,16,NaN,0000,00
17,17,NaN,0000,00
18,18,NaN,0000,01
19,19,NaN,0000,00
20,20,NaN,0000,00
21,21,NaN,0000,00
22,22,NaN,0100,00
23,23,NaN,1100,00
24,24,NaN,0000,00
25,25,NaN,0000,00
26,26,NaN,1000,10
27,27,NaN,0000,01
28,28,NaN,0000,11
29,29,NaN,0000,00
30,30,NaN,0000,00
31,31,NaN,0000,00
32,32,NaN,0000,00
33,33,NaN,0100,11
34,34,NaN,0000,00
35,35,NaN,0000,00
36,36,NaN,0100,01
37,37,NaN,0000,00
38,38,NaN,0000,10
39,39,NaN,0000,00
40,40,NaN,0000,00
41,41,NaN,0000,00
42,42,NaN,0000,00
43,43,NaN,0000,00
44,44,NaN,0000,00
45,45,NaN,0000,00
46,46,NaN,1100,00
47,47,NaN,0000,01
48,48,NaN,0000,00
49,49,NaN,0000,00
50,50,NaN,0000,00
51,51,NaN,0000,00
52,52,NaN,0000,00
53,53,NaN,0000,00
54,54,NaN,0100,00
55,55,NaN,1000,00
56,56,NaN,0000,00
57,57,NaN,0000,00
58,58,NaN,0000,00
59,59,NaN,0000,00
60,60,NaN,0000,00
61,61,NaN,0000,00
62,62,NaN,0000,00
63,63,NaN,0000,00
64,64,NaN,0000,00
65,65,NaN,0000,00
66,66,NaN,0000,00
67,67,NaN,0000,00
68,68,NaN,0000,01
69,69,NaN,0000,00
70,70,NaN,0000,00
71,71,NaN,0000,00
72,72,NaN,1100,01
73,73,NaN,0000,00
74,74,NaN,0000,00
75,75,NaN,0100,00
76,76,NaN,0100,01
77,77,NaN,0000,11
78,78,NaN,0000,00
79,79,NaN,0100,00
80,80,NaN,0000,00
36,46,34,NaN,NaN
42,46,25,NaN,NaN
46,47,37,NaN,NaN
46,68,8,NaN,NaN
18,60,69,NaN,NaN
32,60,4,NaN,NaN
37,60,70,NaN,NaN
16,21,20,NaN,NaN
20,21,21,NaN,NaN
21,22,15,NaN,NaN
21,24,25,NaN,NaN
21,30,95,NaN,NaN
21,31,245,NaN,NaN
21,36,33,NaN,NaN
21,42,182,NaN,NaN
21,46,2,NaN,NaN
21,52,7,NaN,NaN
21,59,100,NaN,NaN
21,62,2,NaN,NaN
1,2,280,NaN,NaN
1,24,377,NaN,NaN
1,57,277,NaN,NaN
1,63,308,NaN,NaN
16,31,17,NaN,NaN
20,31,342,NaN,NaN
22,31,28,NaN,NaN
24,31,362,NaN,NaN
27,31,616,NaN,NaN
30,31,330,NaN,NaN
31,33,308,NaN,NaN
31,36,66,NaN,NaN
31,42,547,NaN,NaN
31,44,200,NaN,NaN
31,59,446,NaN,NaN
16,24,11,NaN,NaN
22,24,13,NaN,NaN
24,44,257,NaN,NaN
24,52,8,NaN,NaN
24,57,107,NaN,NaN
24,63,112,NaN,NaN
15,48,168,NaN,NaN
12,58,6,NaN,NaN
