source,target,weight,symptom,psych_symp
1,1,NaN,0000,00
2,2,NaN,0000,11
3,3,NaN,0000,00
4,4,NaN,0001,00
5,5,NaN,0000,00
6,6,NaN,0100,01
7,7,NaN,0100,00
8,8,NaN,0100,00
9,9,NaN,0000,00
10,10,NaN,0000,00
11,11,NaN,0000,11
12,12,NaN,0000,00
13,13,NaN,0000,00
14,14,NaN,0000,00
15,15,NaN,0000,00
16,16,NaN,0000,00
17,17,NaN,0000,00
18,18,NaN,0000,01
19,19,NaN,0000,00
20,20,NaN,0000,00
21,21,NaN,0000,00
22,22,NaN,0000,00
23,23,NaN,1100,00
24,24,NaN,0000,00
25,25,NaN,0000,00
26,26,NaN,0000,00
27,27,NaN,0000,01
28,28,NaN,0000,01
29,29,NaN,0101,00
30,30,NaN,0000,00
31,31,NaN,0000,10
32,32,NaN,0000,00
33,33,NaN,0000,00
34,34,NaN,0000,01
35,35,NaN,0000,00
36,36,NaN,0000,00
37,37,NaN,0100,00
38,38,NaN,0000,00
39,39,NaN,0000,00
40,40,NaN,0000,11
41,41,NaN,0000,00
42,42,NaN,0000,00
43,43,NaN,0000,00
44,44,NaN,1100,00
45,45,NaN,0000,00
46,46,NaN,0000,00
47,47,NaN,0000,00
48,48,NaN,0000,00
49,49,NaN,1100,01
50,50,NaN,0000,00
51,51,NaN,0000,00
52,52,NaN,0000,00
53,53,NaN,0000,00
54,54,NaN,0100,00
55,55,NaN,0000,00
56,56,NaN,0000,00
57,57,NaN,0000,00
58,58,NaN,1100,00
59,59,NaN,0000,00
60,60,NaN,0000,00
61,61,NaN,0000,00
62,62,NaN,0000,00
63,63,NaN,0000,00
64,64,NaN,1100,00
65,65,NaN,0000,00
66,66,NaN,0000,00
67,67,NaN,0000,00
68,68,NaN,0000,00
69,69,NaN,0000,00
70,70,NaN,0000,00
71,71,NaN,0000,00
72,72,NaN,1100,00
73,73,NaN,0000,00
74,74,NaN,0000,00
75,75,NaN,0100,00
76,76,NaN,0100,10
77,77,NaN,0000,00
78,78,NaN,1000,00
79,79,NaN,1100,00
80,80,NaN,0000,00
44,46,9,NaN,NaN
18,59,61,NaN,NaN
20,59,70,NaN,NaN
31,59,29,NaN,NaN
34,59,80,NaN,NaN
36,59,131,NaN,NaN
42,59,121,NaN,NaN
47,59,365,NaN,NaN
59,77,29,NaN,NaN
42,70,632,NaN,NaN
70,77,280,NaN,NaN
20,31,86,NaN,NaN
21,31,294,NaN,NaN
31,36,173,NaN,NaN
31,57,76,NaN,NaN
31,64,3,NaN,NaN
5,47,578,NaN,NaN
20,47,116,NaN,NaN
36,47,112,NaN,NaN
42,47,570,NaN,NaN
43,47,345,NaN,NaN
47,64,363,NaN,NaN
15,35,31,NaN,NaN
15,49,233,NaN,NaN
18,20,63,NaN,NaN
18,36,96,NaN,NaN
18,42,65,NaN,NaN
20,21,77,NaN,NaN
21,36,317,NaN,NaN
21,42,423,NaN,NaN
21,57,73,NaN,NaN
21,59,229,NaN,NaN
11,16,177,NaN,NaN
5,71,60,NaN,NaN
23,71,23,NaN,NaN
49,80,976,NaN,NaN
1,61,426,NaN,NaN
4,7,228,NaN,NaN
27,33,114,NaN,NaN
27,57,81,NaN,NaN
20,70,138,NaN,NaN
36,70,282,NaN,NaN
64,70,226,NaN,NaN
15,40,15,NaN,NaN
18,71,194,NaN,NaN
18,77,46,NaN,NaN
21,43,15,NaN,NaN
42,71,100,NaN,NaN
23,33,28,NaN,NaN
23,59,2,NaN,NaN
21,27,375,NaN,NaN
15,67,20,NaN,NaN
15,69,9,NaN,NaN
18,31,71,NaN,NaN
18,34,17,NaN,NaN
18,57,9,NaN,NaN
4,21,56,NaN,NaN
7,21,46,NaN,NaN
21,33,40,NaN,NaN
21,64,88,NaN,NaN
47,71,93,NaN,NaN
7,20,2,NaN,NaN
7,31,31,NaN,NaN
7,36,11,NaN,NaN
7,57,27,NaN,NaN
7,59,4,NaN,NaN
4,31,11,NaN,NaN
4,57,119,NaN,NaN
4,18,68,NaN,NaN
24,58,15,NaN,NaN
58,63,16,NaN,NaN
69,80,1,NaN,NaN
7,18,85,NaN,NaN
7,42,2,NaN,NaN
4,27,33,NaN,NaN
7,27,25,NaN,NaN
27,31,142,NaN,NaN
27,36,254,NaN,NaN
35,69,150,NaN,NaN
40,69,204,NaN,NaN
57,70,6,NaN,NaN
4,36,14,NaN,NaN
4,42,2,NaN,NaN
4,59,1,NaN,NaN
4,70,7,NaN,NaN
31,42,44,NaN,NaN
59,71,91,NaN,NaN
49,69,111,NaN,NaN
5,64,29,NaN,NaN
20,64,2,NaN,NaN
42,64,5,NaN,NaN
43,64,3,NaN,NaN
64,68,12,NaN,NaN
18,21,6,NaN,NaN
7,11,81,NaN,NaN
11,27,13,NaN,NaN
27,42,391,NaN,NaN
27,59,260,NaN,NaN
27,70,512,NaN,NaN
11,21,21,NaN,NaN
21,24,8,NaN,NaN
11,18,186,NaN,NaN
18,24,6,NaN,NaN
20,71,63,NaN,NaN
7,24,1,NaN,NaN
20,27,83,NaN,NaN
24,27,73,NaN,NaN
21,70,711,NaN,NaN
4,20,1,NaN,NaN
11,31,21,NaN,NaN
64,71,27,NaN,NaN
57,71,139,NaN,NaN
24,70,3,NaN,NaN
24,31,45,NaN,NaN
4,71,34,NaN,NaN
59,70,519,NaN,NaN
46,80,225,NaN,NaN
4,47,43,NaN,NaN
15,44,11,NaN,NaN
15,46,9,NaN,NaN
44,80,230,NaN,NaN
18,47,18,NaN,NaN
4,33,70,NaN,NaN
4,43,36,NaN,NaN
4,64,55,NaN,NaN
27,43,24,NaN,NaN
27,64,95,NaN,NaN
15,80,4,NaN,NaN
21,77,24,NaN,NaN
5,15,2,NaN,NaN
5,44,7,NaN,NaN
5,46,16,NaN,NaN
15,79,5,NaN,NaN
44,79,7,NaN,NaN
46,79,13,NaN,NaN
4,16,253,NaN,NaN
79,80,11,NaN,NaN
33,71,4,NaN,NaN
5,49,5,NaN,NaN
49,79,5,NaN,NaN
18,70,4,NaN,NaN
21,63,123,NaN,NaN
27,44,77,NaN,NaN
5,18,5,NaN,NaN
5,20,10,NaN,NaN
5,34,20,NaN,NaN
5,36,16,NaN,NaN
5,42,14,NaN,NaN
5,77,9,NaN,NaN
18,79,5,NaN,NaN
20,79,10,NaN,NaN
34,79,20,NaN,NaN
36,79,14,NaN,NaN
42,79,14,NaN,NaN
77,79,9,NaN,NaN
27,46,13,NaN,NaN
2,71,127,NaN,NaN
63,71,31,NaN,NaN
46,67,4,NaN,NaN
21,80,73,NaN,NaN
16,71,159,NaN,NaN
7,80,146,NaN,NaN
11,80,131,NaN,NaN
20,80,74,NaN,NaN
31,80,2,NaN,NaN
36,80,99,NaN,NaN
15,48,269,NaN,NaN
4,80,183,NaN,NaN
12,37,7,NaN,NaN
24,80,48,NaN,NaN
37,60,113,NaN,NaN
37,67,120,NaN,NaN
47,57,35,NaN,NaN
