source,target,weight,symptom,psych_symp
1,1,NaN,0000,00
2,2,NaN,1100,10
3,3,NaN,0000,00
4,4,NaN,0000,00
5,5,NaN,0000,00
6,6,NaN,0000,00
7,7,NaN,0000,00
8,8,NaN,0000,00
9,9,NaN,0000,00
10,10,NaN,0000,00
11,11,NaN,0100,11
12,12,NaN,0000,00
13,13,NaN,0000,00
14,14,NaN,0000,00
15,15,NaN,0000,00
16,16,NaN,0000,00
17,17,NaN,0000,00
18,18,NaN,0000,11
19,19,NaN,0000,00
20,20,NaN,0000,00
21,21,NaN,0000,01
22,22,NaN,0100,00
23,23,NaN,1100,01
24,24,NaN,0000,00
25,25,NaN,0000,00
26,26,NaN,1100,00
27,27,NaN,0000,00
28,28,NaN,0000,11
29,29,NaN,0100,00
30,30,NaN,0100,11
31,31,NaN,0000,00
32,32,NaN,0000,00
33,33,NaN,0000,00
34,34,NaN,0000,00
35,35,NaN,0000,00
36,36,NaN,0000,00
37,37,NaN,0000,00
38,38,NaN,0000,00
39,39,NaN,0000,00
40,40,NaN,0000,00
41,41,NaN,0000,00
42,42,NaN,0000,00
43,43,NaN,0000,00
44,44,NaN,0100,00
45,45,NaN,0000,00
46,46,NaN,0000,00
47,47,NaN,0000,00
48,48,NaN,1100,01
49,49,NaN,0100,11
50,50,NaN,0000,00
51,51,NaN,0000,00
52,52,NaN,0100,00
53,53,NaN,0000,00
54,54,NaN,0000,00
55,55,NaN,0000,00
56,56,NaN,1110,01
57,57,NaN,0000,00
58,58,NaN,0000,00
59,59,NaN,0000,00
60,60,NaN,0000,00
61,61,NaN,0100,00
62,62,NaN,0000,00
63,63,NaN,0000,00
64,64,NaN,0000,00
65,65,NaN,0000,00
66,66,NaN,0100,00
67,67,NaN,0000,01
68,68,NaN,0000,00
69,69,NaN,0000,00
70,70,NaN,0100,00
71,71,NaN,0000,00
72,72,NaN,0000,00
73,73,NaN,0000,00
74,74,NaN,0000,00
75,75,NaN,0100,00
76,76,NaN,0000,11
77,77,NaN,0000,11
78,78,NaN,0000,10
79,79,NaN,0000,00
80,80,NaN,0000,00
23,76,5,NaN,NaN
4,11,186,NaN,NaN
19,60,51,NaN,NaN
60,67,79,NaN,NaN
19,22,116,NaN,NaN
22,49,55,NaN,NaN
22,67,158,NaN,NaN
24,58,30,NaN,NaN
58,63,13,NaN,NaN
36,44,79,NaN,NaN
36,59,30,NaN,NaN
1,11,4,NaN,NaN
1,24,4,NaN,NaN
1,58,13,NaN,NaN
1,63,32,NaN,NaN
22,62,67,NaN,NaN
11,18,110,NaN,NaN
18,49,429,NaN,NaN
18,76,64,NaN,NaN
18,22,153,NaN,NaN
22,36,2,NaN,NaN
18,62,440,NaN,NaN
18,71,98,NaN,NaN
4,71,104,NaN,NaN
58,61,11,NaN,NaN
22,60,10,NaN,NaN
4,33,10,NaN,NaN
38,47,72,NaN,NaN
47,57,2,NaN,NaN
47,59,33,NaN,NaN
47,64,40,NaN,NaN
20,33,44,NaN,NaN
21,33,3,NaN,NaN
30,33,21,NaN,NaN
33,44,352,NaN,NaN
33,57,9,NaN,NaN
8,36,160,NaN,NaN
36,77,20,NaN,NaN
8,70,450,NaN,NaN
47,49,1,NaN,NaN
8,59,104,NaN,NaN
8,31,30,NaN,NaN
31,57,19,NaN,NaN
31,59,8,NaN,NaN
31,70,23,NaN,NaN
31,77,4,NaN,NaN
8,77,154,NaN,NaN
4,52,165,NaN,NaN
29,49,10,NaN,NaN
15,29,11,NaN,NaN
15,49,5,NaN,NaN
1,52,5,NaN,NaN
11,52,168,NaN,NaN
52,71,118,NaN,NaN
52,76,64,NaN,NaN
52,61,55,NaN,NaN
20,44,464,NaN,NaN
23,44,339,NaN,NaN
30,44,216,NaN,NaN
44,57,23,NaN,NaN
52,57,109,NaN,NaN
44,46,26,NaN,NaN
44,64,75,NaN,NaN
57,58,7,NaN,NaN
7,11,47,NaN,NaN
7,52,48,NaN,NaN
7,71,10,NaN,NaN
44,63,44,NaN,NaN
36,46,34,NaN,NaN
21,31,34,NaN,NaN
15,48,39,NaN,NaN
47,77,8,NaN,NaN
8,47,37,NaN,NaN
21,47,4,NaN,NaN
36,52,14,NaN,NaN
44,77,5,NaN,NaN
20,59,292,NaN,NaN
21,59,3,NaN,NaN
59,70,23,NaN,NaN
18,19,22,NaN,NaN
19,44,88,NaN,NaN
60,62,431,NaN,NaN
22,35,35,NaN,NaN
35,60,29,NaN,NaN
44,66,138,NaN,NaN
18,35,57,NaN,NaN
11,36,6,NaN,NaN
36,58,4,NaN,NaN
36,61,4,NaN,NaN
36,63,4,NaN,NaN
36,71,12,NaN,NaN
36,76,13,NaN,NaN
24,31,18,NaN,NaN
18,67,6,NaN,NaN
47,70,4,NaN,NaN
23,33,26,NaN,NaN
20,36,379,NaN,NaN
30,31,17,NaN,NaN
30,58,1,NaN,NaN
24,44,19,NaN,NaN
20,30,444,NaN,NaN
20,66,269,NaN,NaN
44,61,1,NaN,NaN
49,69,1,NaN,NaN
24,52,2,NaN,NaN
1,57,18,NaN,NaN
2,76,5,NaN,NaN
11,76,3,NaN,NaN
71,76,8,NaN,NaN
8,21,157,NaN,NaN
8,64,45,NaN,NaN
46,70,1,NaN,NaN
44,59,5,NaN,NaN
18,60,85,NaN,NaN
1,30,8,NaN,NaN
11,44,38,NaN,NaN
1,2,14,NaN,NaN
1,71,4,NaN,NaN
1,44,4,NaN,NaN
38,77,2,NaN,NaN
46,47,3,NaN,NaN
11,46,433,NaN,NaN
18,46,374,NaN,NaN
46,71,420,NaN,NaN
46,76,396,NaN,NaN
59,77,15,NaN,NaN
59,66,1,NaN,NaN
18,36,35,NaN,NaN
23,36,2,NaN,NaN
7,57,7,NaN,NaN
7,46,141,NaN,NaN
35,46,221,NaN,NaN
20,23,128,NaN,NaN
38,45,1,NaN,NaN
20,31,9,NaN,NaN
7,36,2,NaN,NaN
38,59,1,NaN,NaN
30,59,14,NaN,NaN
7,18,2,NaN,NaN
2,18,2,NaN,NaN
2,44,1,NaN,NaN
2,46,85,NaN,NaN
31,33,8,NaN,NaN
46,60,28,NaN,NaN
19,38,1,NaN,NaN
36,38,3,NaN,NaN
38,44,1,NaN,NaN
35,44,2,NaN,NaN
1,20,5,NaN,NaN
30,36,78,NaN,NaN
30,63,16,NaN,NaN
31,36,15,NaN,NaN
31,44,4,NaN,NaN
35,59,4,NaN,NaN
8,35,3,NaN,NaN
2,31,1,NaN,NaN
19,69,1,NaN,NaN
66,69,1,NaN,NaN
49,60,13,NaN,NaN
23,38,41,NaN,NaN
8,30,33,NaN,NaN
4,46,104,NaN,NaN
15,62,3,NaN,NaN
46,77,15,NaN,NaN
52,77,5,NaN,NaN
5,47,5,NaN,NaN
5,68,6,NaN,NaN
21,52,2,NaN,NaN
63,77,2,NaN,NaN
5,46,1,NaN,NaN
15,77,1,NaN,NaN
21,77,1,NaN,NaN
15,38,4,NaN,NaN
38,52,5,NaN,NaN
4,9,6,NaN,NaN
14,52,2,NaN,NaN
49,52,1,NaN,NaN
52,64,1,NaN,NaN
52,66,1,NaN,NaN
52,68,1,NaN,NaN
52,72,1,NaN,NaN
14,15,2,NaN,NaN
15,52,1,NaN,NaN
15,44,3,NaN,NaN
31,52,1,NaN,NaN
47,52,2,NaN,NaN
47,68,18,NaN,NaN
8,24,116,NaN,NaN
8,33,16,NaN,NaN
8,52,7,NaN,NaN
8,14,1,NaN,NaN
8,23,12,NaN,NaN
8,44,14,NaN,NaN
8,20,75,NaN,NaN
20,24,9,NaN,NaN
20,47,7,NaN,NaN
52,70,2,NaN,NaN
8,63,16,NaN,NaN
4,8,14,NaN,NaN
4,31,3,NaN,NaN
9,31,4,NaN,NaN
8,9,1,NaN,NaN
8,54,4,NaN,NaN
46,62,6,NaN,NaN
4,7,11,NaN,NaN
4,57,10,NaN,NaN
24,33,1,NaN,NaN
31,63,1,NaN,NaN
7,31,1,NaN,NaN
21,44,15,NaN,NaN
19,59,2,NaN,NaN
59,72,13,NaN,NaN
59,78,3,NaN,NaN
49,59,1,NaN,NaN
24,36,6,NaN,NaN
36,66,18,NaN,NaN
46,52,194,NaN,NaN
20,46,61,NaN,NaN
12,62,596,NaN,NaN
35,62,291,NaN,NaN
36,47,17,NaN,NaN
19,46,27,NaN,NaN
20,63,7,NaN,NaN
20,76,22,NaN,NaN
21,36,14,NaN,NaN
30,46,14,NaN,NaN
60,72,1,NaN,NaN
23,46,18,NaN,NaN
1,61,10,NaN,NaN
7,33,1,NaN,NaN
49,62,377,NaN,NaN
44,49,7,NaN,NaN
35,49,82,NaN,NaN
19,49,434,NaN,NaN
21,62,1,NaN,NaN
11,49,168,NaN,NaN
45,47,1,NaN,NaN
19,32,3,NaN,NaN
32,38,1,NaN,NaN
32,68,5,NaN,NaN
32,72,5,NaN,NaN
2,23,22,NaN,NaN
44,47,2,NaN,NaN
44,52,1,NaN,NaN
12,60,5,NaN,NaN
62,70,1,NaN,NaN
23,77,10,NaN,NaN
23,66,2,NaN,NaN
62,66,56,NaN,NaN
4,49,2,NaN,NaN
5,59,3,NaN,NaN
5,38,2,NaN,NaN
12,49,6,NaN,NaN
4,18,6,NaN,NaN
31,46,4,NaN,NaN
31,66,2,NaN,NaN
56,62,4,NaN,NaN
15,35,2,NaN,NaN
15,72,1,NaN,NaN
44,67,1,NaN,NaN
44,72,35,NaN,NaN
44,76,8,NaN,NaN
20,64,1,NaN,NaN
1,31,1,NaN,NaN
20,61,15,NaN,NaN
23,47,2,NaN,NaN
35,76,1,NaN,NaN
66,76,1,NaN,NaN
67,76,1,NaN,NaN
76,78,1,NaN,NaN
12,18,2,NaN,NaN
31,76,1,NaN,NaN
12,65,238,NaN,NaN
60,65,249,NaN,NaN
65,67,122,NaN,NaN
49,67,12,NaN,NaN
8,57,121,NaN,NaN
65,68,1,NaN,NaN
36,57,2,NaN,NaN
36,70,12,NaN,NaN
